Rank,Name,Team,Position,Played,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Indianapolis Colts,IND,DST,16,87.5,40,81,15,11,3,4,3,348,9.4,151
2,Pittsburgh Steelers,PIT,DST,16,118,56,140,18,10,1,3,0,306,9.4,150
3,Los Angeles Rams,LAR,DST,16,80.5,53,104,14,8,1,4,0,278,9.3,149
4,Baltimore Ravens,BAL,DST,16,87.5,39,119,10,13,2,3,1,291,8.9,143
5,Miami Dolphins,MIA,DST,16,87.5,41,99,18,10,0,2,1,330,8.7,139
6,Washington Commanders,WAS,DST,16,93.5,47,100,16,7,1,3,0,317,7.9,127
7,New Orleans Saints,NO,DST,16,97.5,45,113,18,8,0,1,0,335,7.6,122
8,Buffalo Bills,BUF,DST,16,96.5,38,96,15,11,0,3,1,375,7.4,118
9,Tampa Bay Buccaneers,TB,DST,16,108.5,48,116,15,10,1,1,0,343,7.3,117
10,Kansas City Chiefs,KC,DST,16,57.5,32,100,16,7,2,2,2,360,6.9,110
11,Arizona Cardinals,ARI,DST,16,103,48,105,11,10,1,0,0,345,6.7,107
12,New England Patriots,NE,DST,16,58.5,24,68,18,4,0,2,2,341,6.5,104
13,Philadelphia Eagles,PHI,DST,16,114.5,49,116,8,13,1,2,1,408,6.4,103
13,Seattle Seahawks,SEA,DST,16,101,46,114,14,9,3,0,0,365,6.4,103
13,New York Giants,NYG,DST,16,89,40,107,11,11,0,2,0,349,6.4,103
16,Carolina Panthers,CAR,DST,16,72,29,91,7,15,0,3,0,402,6.1,97
17,Cleveland Browns,CLE,DST,16,78.5,38,79,11,10,2,2,0,405,5.9,94
17,Green Bay Packers,GB,DST,16,72.5,41,82,11,7,1,2,0,363,5.9,94
19,Chicago Bears,CHI,DST,16,78.5,35,91,10,8,1,1,1,358,5.6,90
20,San Francisco 49ers,SF,DST,16,78.5,30,72,12,8,0,1,0,366,5.5,88
21,Dallas Cowboys,DAL,DST,16,69.5,31,79,10,13,0,2,1,449,4.9,78
22,Denver Broncos,DEN,DST,16,76,42,96,10,6,0,0,1,424,4.6,74
23,Atlanta Falcons,ATL,DST,16,82,29,92,12,9,0,1,0,414,4.5,72
23,Los Angeles Chargers,LAC,DST,16,63,27,88,12,7,1,2,0,424,4.5,72
25,Tennessee Titans,TEN,DST,16,60.5,19,70,15,8,0,2,1,437,4.4,70
26,New York Jets,NYJ,DST,16,96.5,31,87,10,10,1,1,0,437,4.1,65
27,Minnesota Vikings,MIN,DST,16,62.5,23,70,15,7,1,0,0,453,3.6,57
28,Jacksonville Jaguars,JAX,DST,16,66,18,77,12,5,0,1,2,488,3.2,52
29,Houston Texans,HOU,DST,16,77,34,79,3,8,0,1,0,454,3,48
30,Cincinnati Bengals,CIN,DST,16,54,17,72,11,6,0,0,1,412,2.8,45
31,Las Vegas Raiders,LV,DST,16,71.5,21,76,10,5,0,0,0,460,2.4,39
32,Detroit Lions,DET,DST,16,75,24,60,7,5,1,0,1,501,1.7,27
